League,Day,Team 1,Team 2,Score
Euroleague,"Oct 12, 2017",Olympiacos,TD Systems Baskonia,75 - 64
Euroleague,"Oct 12, 2017",Brose Bamberg,Maccabi Playtika Tel Aviv,71 - 88
Euroleague,"Oct 12, 2017",Anadolu Efes,Real Madrid,74 - 88
Euroleague,"Oct 12, 2017",CSKA Moscow,AX Armani Exchange Milano,93 - 84
Euroleague,"Oct 12, 2017",Unicaja Malaga,Fenerbahce,68 - 67
Euroleague,"Oct 13, 2017",Khimki Moscow Region,Valencia,75 - 70
Euroleague,"Oct 13, 2017",Zalgiris,Crvena zvezda mts,78 - 76
Euroleague,"Oct 13, 2017",F.C. Barcelona,Panathinaikos,98 - 71
Euroleague,"Oct 19, 2017",Panathinaikos,Brose Bamberg,93 - 83
Euroleague,"Oct 19, 2017",Maccabi Playtika Tel Aviv,TD Systems Baskonia,74 - 68
Euroleague,"Oct 19, 2017",Real Madrid,CSKA Moscow,82 - 69
Euroleague,"Oct 19, 2017",AX Armani Exchange Milano,Fenerbahce,86 - 92
Euroleague,"Oct 20, 2017",Olympiacos,Unicaja Malaga,80 - 75
Euroleague,"Oct 20, 2017",Crvena zvezda mts,F.C. Barcelona,90 - 82
Euroleague,"Oct 20, 2017",Khimki Moscow Region,Zalgiris,85 - 77
Euroleague,"Oct 20, 2017",Valencia,Anadolu Efes,78 - 71
Euroleague,"Oct 24, 2017",Khimki Moscow Region,Crvena zvezda mts,85 - 78
Euroleague,"Oct 24, 2017",Maccabi Playtika Tel Aviv,Olympiacos,68 - 69
Euroleague,"Oct 24, 2017",F.C. Barcelona,Zalgiris,75 - 81
Euroleague,"Oct 24, 2017",Real Madrid,AX Armani Exchange Milano,100 - 90
Euroleague,"Oct 25, 2017",CSKA Moscow,Panathinaikos,81 - 63
Euroleague,"Oct 25, 2017",Fenerbahce,Anadolu Efes,81 - 70
Euroleague,"Oct 25, 2017",TD Systems Baskonia,Valencia,63 - 80
Euroleague,"Oct 25, 2017",Unicaja Malaga,Brose Bamberg,76 - 80
Euroleague,"Oct 26, 2017",Olympiacos,Khimki Moscow Region,92 - 75
Euroleague,"Oct 26, 2017",Crvena zvezda mts,Maccabi Playtika Tel Aviv,87 - 84
Euroleague,"Oct 26, 2017",Zalgiris,Real Madrid,66 - 87
Euroleague,"Oct 26, 2017",AX Armani Exchange Milano,F.C. Barcelona,78 - 74
Euroleague,"Oct 27, 2017",Anadolu Efes,CSKA Moscow,80 - 98
Euroleague,"Oct 27, 2017",Panathinaikos,Fenerbahce,70 - 68
Euroleague,"Oct 27, 2017",Brose Bamberg,TD Systems Baskonia,78 - 72
Euroleague,"Oct 27, 2017",Valencia,Unicaja Malaga,91 - 53
Euroleague,"Nov 2, 2017",Fenerbahce,Valencia,79 - 66
Euroleague,"Nov 2, 2017",Crvena zvezda mts,Brose Bamberg,69 - 75
Euroleague,"Nov 2, 2017",Maccabi Playtika Tel Aviv,AX Armani Exchange Milano,79 - 68
Euroleague,"Nov 2, 2017",TD Systems Baskonia,Panathinaikos,85 - 84
Euroleague,"Nov 2, 2017",Real Madrid,Khimki Moscow Region,80 - 86
Euroleague,"Nov 3, 2017",Anadolu Efes,Unicaja Malaga,74 - 79
Euroleague,"Nov 3, 2017",CSKA Moscow,Zalgiris,94 - 91
Euroleague,"Nov 3, 2017",F.C. Barcelona,Olympiacos,73 - 51
Euroleague,"Nov 9, 2017",AX Armani Exchange Milano,Zalgiris,62 - 94
Euroleague,"Nov 9, 2017",CSKA Moscow,Valencia,94 - 67
Euroleague,"Nov 9, 2017",Maccabi Playtika Tel Aviv,Real Madrid,90 - 83
Euroleague,"Nov 9, 2017",F.C. Barcelona,Anadolu Efes,85 - 89
Euroleague,"Nov 10, 2017",Olympiacos,Panathinaikos,62 - 70
Euroleague,"Nov 10, 2017",Brose Bamberg,Fenerbahce,57 - 80
Euroleague,"Nov 10, 2017",Khimki Moscow Region,TD Systems Baskonia,91 - 90
Euroleague,"Nov 10, 2017",Unicaja Malaga,Crvena zvezda mts,79 - 65
Euroleague,"Nov 14, 2017",Panathinaikos,Khimki Moscow Region,93 - 65
Euroleague,"Nov 14, 2017",Maccabi Playtika Tel Aviv,Anadolu Efes,72 - 92
Euroleague,"Nov 14, 2017",TD Systems Baskonia,Real Madrid,105 - 75
Euroleague,"Nov 14, 2017",Unicaja Malaga,Zalgiris,83 - 85
Euroleague,"Nov 15, 2017",Brose Bamberg,F.C. Barcelona,84 - 81
Euroleague,"Nov 15, 2017",Fenerbahce,Olympiacos,83 - 90
Euroleague,"Nov 15, 2017",Crvena zvezda mts,CSKA Moscow,59 - 85
Euroleague,"Nov 15, 2017",Valencia,AX Armani Exchange Milano,98 - 103
Euroleague,"Nov 16, 2017",Anadolu Efes,Panathinaikos,81 - 82
Euroleague,"Nov 16, 2017",Khimki Moscow Region,Maccabi Playtika Tel Aviv,69 - 77
Euroleague,"Nov 16, 2017",Zalgiris,TD Systems Baskonia,77 - 97
Euroleague,"Nov 16, 2017",Real Madrid,Unicaja Malaga,89 - 57
Euroleague,"Nov 17, 2017",Olympiacos,Crvena zvezda mts,85 - 59
Euroleague,"Nov 17, 2017",CSKA Moscow,Fenerbahce,93 - 95
Euroleague,"Nov 17, 2017",F.C. Barcelona,Valencia,89 - 71
Euroleague,"Nov 17, 2017",AX Armani Exchange Milano,Brose Bamberg,71 - 62
Euroleague,"Nov 23, 2017",Brose Bamberg,Valencia,83 - 82
Euroleague,"Nov 23, 2017",Crvena zvezda mts,TD Systems Baskonia,81 - 85
Euroleague,"Nov 23, 2017",Zalgiris,Anadolu Efes,91 - 83
Euroleague,"Nov 23, 2017",F.C. Barcelona,Maccabi Playtika Tel Aviv,89 - 67
Euroleague,"Nov 23, 2017",AX Armani Exchange Milano,Olympiacos,85 - 86
Euroleague,"Nov 24, 2017",Panathinaikos,Real Madrid,82 - 80
Euroleague,"Nov 24, 2017",Fenerbahce,Khimki Moscow Region,71 - 67
Euroleague,"Nov 24, 2017",Unicaja Malaga,CSKA Moscow,80 - 89
Euroleague,"Nov 30, 2017",Anadolu Efes,AX Armani Exchange Milano,73 - 68
Euroleague,"Nov 30, 2017",Khimki Moscow Region,Brose Bamberg,82 - 73
Euroleague,"Nov 30, 2017",Maccabi Playtika Tel Aviv,Zalgiris,81 - 74
Euroleague,"Nov 30, 2017",Valencia,Olympiacos,64 - 72
Euroleague,"Nov 30, 2017",TD Systems Baskonia,Fenerbahce,69 - 83
Euroleague,"Dec 1, 2017",Panathinaikos,Unicaja Malaga,82 - 71
Euroleague,"Dec 1, 2017",CSKA Moscow,F.C. Barcelona,92 - 78
Euroleague,"Dec 1, 2017",Real Madrid,Crvena zvezda mts,83 - 87
Euroleague,"Dec 7, 2017",Brose Bamberg,CSKA Moscow,76 - 92
Euroleague,"Dec 7, 2017",Maccabi Playtika Tel Aviv,Valencia,94 - 91
Euroleague,"Dec 7, 2017",Zalgiris,Panathinaikos,80 - 74
Euroleague,"Dec 7, 2017",TD Systems Baskonia,Unicaja Malaga,88 - 82
Euroleague,"Dec 7, 2017",AX Armani Exchange Milano,Khimki Moscow Region,71 - 77
Euroleague,"Dec 8, 2017",Olympiacos,Real Madrid,92 - 83
Euroleague,"Dec 8, 2017",Crvena zvezda mts,Anadolu Efes,100 - 81
Euroleague,"Dec 8, 2017",F.C. Barcelona,Fenerbahce,68 - 83
Euroleague,"Dec 14, 2017",Brose Bamberg,Olympiacos,67 - 65
Euroleague,"Dec 14, 2017",Fenerbahce,Zalgiris,89 - 90
Euroleague,"Dec 14, 2017",Real Madrid,F.C. Barcelona,87 - 75
Euroleague,"Dec 14, 2017",Unicaja Malaga,Khimki Moscow Region,93 - 84
Euroleague,"Dec 15, 2017",Panathinaikos,AX Armani Exchange Milano,80 - 72
Euroleague,"Dec 15, 2017",Anadolu Efes,TD Systems Baskonia,81 - 82
Euroleague,"Dec 15, 2017",CSKA Moscow,Maccabi Playtika Tel Aviv,101 - 86
Euroleague,"Dec 15, 2017",Valencia,Crvena zvezda mts,82 - 86
Euroleague,"Dec 19, 2017",Panathinaikos,Maccabi Playtika Tel Aviv,89 - 76
Euroleague,"Dec 19, 2017",Fenerbahce,Crvena zvezda mts,82 - 56
Euroleague,"Dec 19, 2017",Zalgiris,Brose Bamberg,88 - 84
Euroleague,"Dec 19, 2017",Real Madrid,Valencia,91 - 72
Euroleague,"Dec 20, 2017",Khimki Moscow Region,Anadolu Efes,86 - 68
Euroleague,"Dec 20, 2017",Olympiacos,CSKA Moscow,88 - 86
Euroleague,"Dec 20, 2017",F.C. Barcelona,Unicaja Malaga,83 - 90
Euroleague,"Dec 20, 2017",AX Armani Exchange Milano,TD Systems Baskonia,92 - 85
Euroleague,"Dec 21, 2017",Brose Bamberg,Real Madrid,66 - 81
Euroleague,"Dec 21, 2017",Crvena zvezda mts,Panathinaikos,63 - 69
Euroleague,"Dec 21, 2017",Maccabi Playtika Tel Aviv,Fenerbahce,82 - 73
Euroleague,"Dec 21, 2017",Valencia,Zalgiris,63 - 71
Euroleague,"Dec 22, 2017",Anadolu Efes,Olympiacos,58 - 61
Euroleague,"Dec 22, 2017",CSKA Moscow,Khimki Moscow Region,79 - 68
Euroleague,"Dec 22, 2017",TD Systems Baskonia,F.C. Barcelona,85 - 82
Euroleague,"Dec 22, 2017",Unicaja Malaga,AX Armani Exchange Milano,74 - 71
Euroleague,"Dec 28, 2017",Fenerbahce,Real Madrid,77 - 79
Euroleague,"Dec 28, 2017",Maccabi Playtika Tel Aviv,Unicaja Malaga,78 - 89
